
---------- Begin Simulation Statistics ----------
system.cpu.dtb_walker_cache.blocked_cycles::no_targets            0                       # number of cycles access was blocked
system.cpu.dtb_walker_cache.blocked::no_mshrs            0                       # number of cycles access was blocked
system.cpu.dtb_walker_cache.blocked::no_targets            0                       # number of cycles access was blocked
system.cpu.dtb_walker_cache.avg_blocked_cycles::no_mshrs          nan                       # average number of cycles each access was blocked
system.cpu.dtb_walker_cache.avg_blocked_cycles::no_targets          nan                       # average number of cycles each access was blocked
system.cpu.dtb_walker_cache.fast_writes             0                       # number of fast writes performed
system.cpu.dtb_walker_cache.cache_copies            0                       # number of cache copies performed
system.cpu.dtb_walker_cache.no_allocate_misses            0                       # Number of misses that were no-allocate
system.cpu.dcache.tags.replacements              1020                       # number of replacements
system.cpu.dcache.tags.tagsinuse             3.999992                       # Cycle average of tags in use
system.cpu.dcache.tags.total_refs               42389                       # Total number of references to valid blocks.
system.cpu.dcache.tags.sampled_refs              1024                       # Sample count of references to valid blocks.
system.cpu.dcache.tags.avg_refs             41.395508                       # Average number of references to valid blocks.
system.cpu.dcache.tags.warmup_cycle            984000                       # Cycle when the warmup percentage was hit.
system.cpu.dcache.tags.occ_blocks::cpu.data     3.999992                       # Average occupied blocks per requestor
system.cpu.dcache.tags.occ_percent::cpu.data     0.999998                       # Average percentage of cache occupancy
system.cpu.dcache.tags.occ_percent::total     0.999998                       # Average percentage of cache occupancy
system.cpu.dcache.ReadReq_hits::cpu.data        21186                       # number of ReadReq hits
system.cpu.dcache.ReadReq_hits::total           21186                       # number of ReadReq hits
system.cpu.dcache.WriteReq_hits::cpu.data        21203                       # number of WriteReq hits
system.cpu.dcache.WriteReq_hits::total          21203                       # number of WriteReq hits
system.cpu.dcache.demand_hits::cpu.data         42389                       # number of demand (read+write) hits
system.cpu.dcache.demand_hits::total            42389                       # number of demand (read+write) hits
system.cpu.dcache.overall_hits::cpu.data        42389                       # number of overall hits
system.cpu.dcache.overall_hits::total           42389                       # number of overall hits
